# ProtMiscuity: a database of promiscuous proteins. http://ufq.unq.edu.ar/protmiscuity
# Ana Julia Velez Rueda, Nicolas Palopoli, Matias Zacarias, Gustavo Parisi. Universidad Nacional de Quilmes, Argentina.

PROTEIN_NAME,RELATED_UNIP_IDS,RELATED_DOIS,CANONIC_ENZYMATIC_ACTIVITY,PROMISCUOS_ENZYMATIC_ACTIVITY
Nuclease P1/Endonuclease P1,P24289,10.1016/j.biochi.2014.01.006,10.1039/C0GC00486C,10.1039/C4RA11462K,endonuclease,asymmetric aldol reaction
Serum paraoxonase 1,P27169,10.1194/jlr.D600045-JLR200,10.1194/jlr.M400511-JLR200,10.1021/bi047440d,10.1073/pnas.2536901100,10.1016/j.jmb.2012.02.042,lactonase,esterase
Serum paraoxonase 1,P27169,10.1194/jlr.D600045-JLR200,10.1194/jlr.M400511-JLR200,10.1073/pnas.2536901100,10.1016/j.jmb.2012.02.042,lactonase,phosphotriesterase
Arylsulfatase/Aryl-sulfate sulphohydrolase/PAS/AS,P51691,10.1021/ja8047943,10.1002/anie.200805843,10.1021/acs.biochem.6b00297,10.1002/prot.24020,10.1016/j.febslet.2012.04.012,10.1002/chem.201201943,arylsulfatase,phosphatase
(S)-hydroxynitrile lyase/(S)-acetone-cyanohydrin lyase/Oxynitrilase/HNL,P52704,10.1002/anie.200504230,10.1002/adsc.200700064,lyase,Henry reaction
Glucoamylase,P69328,10.1039/C3RA41287C,hydrolase,Henry reaction
Dihydroxyacetone kinase/DHAK,P45510,10.1002/cbic.200800573,glycerone kinase,cyclization reaction
o-succinylbenzoate synthase/4-(2'-carboxyphenyl)-4-oxybutyric acid synthase/o-succinylbenzoic acid synthase/OSB synthase/OSBS,Q44244,10.1016/j.bbrc.2014.06.034,10.1021/bi990140p,10.1021/bi035815+,10.1021/jp511147b,o-succinylbenzoate synthesis,N-succinylamino acid racemization
3-hexulose-6-phosphate synthase,Q48907,10.1021/bi047815v,aldol condensation,decarboxylase
3-keto-L-gulonate-6-phosphate decarboxylase UlaD,P39304,10.1021/bi047815v,decarboxylase,aldol condensation
Tryprostatin B synthase/ftmPT1,Q4WAW7,10.1016/j.chembiol.2008.05.019.,prenylation of brevianamide F,tryptophan aminopeptidase
Tryptophan dimethylallyltransferase/7-DAMTS,Q4WYG3,10.1016/j.chembiol.2008.05.019,prenylase,tryptophan aminopeptidase
Fumigaclavine A dimethylallyltransferase easL/fgaPT1,Q4WZ67,10.1016/j.chembiol.2008.05.019.,prenylase,tryptophan aminopeptidase
Cyclic dipeptide N-prenyltransferase/cdpNPT,D1D8L6,10.1016/j.chembiol.2008.05.019.,prenyltransferase,tryptophan aminopeptidase
Esterase I,P22862,10.1039/c2ob06887g,arylesterase,gamma-lactamase
Subtilisin Carlsberg,P00780,10.1039/C0GC00799D,10.3109/10242422.2012.662961, 10.1023/B:BILE.0000030042.91094.38,alkaline protease,Knoevenagel condensation
Subtilisin Carlsberg,P00780,10.1039/C0GC00799D,10.3109/10242422.2012.662961, 10.1023/B:BILE.0000030042.91094.38,alkaline protease,intramolecular transesterification
Aldoxime dehydratase,Q76K71,10.1002/cbic.201600596,dehydratase,Kemp elimination
Aldoxime dehydratase,Q7WSJ4,10.1002/cbic.201600596,dehydratase,Kemp elimination
Phenylacetaldoxime dehydratase,P82604,10.1002/cbic.201600596,dehydratase,Kemp elimination
Acetylacetone-cleaving enzyme,Q8GNT2,10.1002/cbic.200900688,dioxygenase,esterase
Succinyl-diaminopimelate desuccinylase,Q8ZN75,10.1128/JB.185.16.4748–4754.2003,desuccinylase,aspartyl dipeptidase
Aryldialkylphosphatase,Q97VT7,10.1371/journal.pone.0075272,10.1016/j.jmb.2008.04.022,10.1016/j.biortech.2010.06.102,10.1080/09593331003789529,lactonase,phosphotriesterase
Macrophomate synthase,Q9UVD4,10.1021/ja8017994,10.1021/ja043905b,Michael-aldol,aldolase
Imidazole glycerol phosphate synthase subunit/HisF,Q9X0C6,10.1002/anie.200702751,imidazole glycerol-phosphate synthase,esterase-like activity
2-hydroxymuconate tautomerase,Q01468,10.1002/cbic.201000633,10.1002/cbic.201200225,10.1002/cbic.201300098,10.1002/cbic.201600149,isomerase,aldol condensation
2-hydroxymuconate tautomerase,Q01468,10.1002/cbic.201300098,10.1016/j.biortech.2013.05.074,10.1016/j.cbpa.2014.12.020,10.1002/cbic.201200676,10.1002/anie.201107404,isomerase,asymmetric Michael-type additions
2-hydroxymuconate tautomerase,Q01468,10.1002/cbic.201200225,10.1002/cbic.201300098,isomerase,retro-aldol
2-hydroxymuconate tautomerase,Q01468,10.1021/bi0600603,isomerase,dehydrogenation
